Round;Timestamp;AccX;AccY;
0;03:48:07:254;-1.3790601;8.88608;
0;03:48:07:264;-1.3575124;8.9124155;
0;03:48:07:275;-1.3239936;8.913613;
0;03:48:07:284;-1.377863;8.938752;
0;03:48:07:294;-1.4676456;8.983045;
0;03:48:07:304;-1.5143325;8.91481;
0;03:48:07:315;-1.4939818;8.850166;
0;03:48:07:325;-1.4149733;8.875306;
0;03:48:07:335;-1.2916719;8.86932;
0;03:48:07:346;-1.1683705;8.945934;
0;03:48:07:355;-1.1133038;8.968679;
0;03:48:07:365;-1.0857705;8.925584;
0;03:48:07:375;-1.0426749;8.916007;
0;03:48:07:386;-0.92655605;8.9040365;
0;03:48:07:396;-0.8331822;8.896853;
0;03:48:07:406;-0.8631097;8.889671;
0;03:48:07:417;-1.0079589;8.895657;
0;03:48:07:427;-1.2138603;8.8777;
0;03:48:07:437;-1.3862427;8.907627;
0;03:48:07:447;-1.4437037;8.916007;
0;03:48:07:458;-1.3754689;8.846576;
0;03:48:07:468;-1.2605472;8.86932;
0;03:48:07:478;-1.1587936;8.844181;
0;03:48:07:488;-1.043872;8.774749;
0;03:48:07:499;-0.866701;8.7292595;
0;03:48:07:509;-0.7194576;8.772355;
0;03:48:07:519;-0.5722142;8.829816;
0;03:48:07:529;-0.5422867;8.809465;
0;03:48:07:539;-0.5506664;8.724471;
0;03:48:07:549;-0.5255273;8.66701;
0;03:48:07:559;-0.4381389;8.652645;
0;03:48:07:569;-0.39384618;8.683769;
0;03:48:07:579;-0.47884035;8.76996;
0;03:48:07:589;-0.5363012;8.754398;
0;03:48:07:599;-0.61411273;8.771158;
0;03:48:07:609;-0.7170634;8.742428;
0;03:48:07:619;-0.78888947;8.644265;
0;03:48:07:629;-0.78410107;8.59279;
0;03:48:07:639;-0.60453594;8.512584;
0;03:48:07:650;-0.34955344;8.446744;
0;03:48:07:659;-0.06584055;8.455123;
0;03:48:07:669;0.25498247;8.568848;
0;03:48:07:679;0.5793968;8.664616;
0;03:48:07:689;0.5590461;8.652645;
0;03:48:07:699;0.3854665;8.534132;
0;03:48:07:709;0.20470424;8.476671;
0;03:48:07:720;0.06344634;8.485051;
0;03:48:07:730;-0.025139118;8.495825;
0;03:48:07:741;-0.0023942017;8.455123;
0;03:48:07:751;0.19512744;8.48146;
0;03:48:07:762;0.2741361;8.507795;
0;03:48:07:772;0.44532153;8.568848;
0;03:48:07:783;0.39743748;8.584411;
0;03:48:07:793;0.20111294;8.544906;
0;03:48:07:803;0.010773907;8.51857;
0;03:48:07:813;-0.15322891;8.553286;
0;03:48:07:823;-0.22984336;8.528147;
0;03:48:07:833;-0.12569559;8.583213;
0;03:48:07:843;0.007182605;8.659827;
0;03:48:07:853;0.1388637;8.704121;
0;03:48:07:863;0.24660277;8.743625;
0;03:48:07:874;0.18315643;8.785523;
0;03:48:07:884;0.049081136;8.767567;
0;03:48:07:895;-0.110133275;8.734048;
0;03:48:07:906;-0.2717419;8.815451;
0;03:48:07:916;-0.36032736;8.839393;
0;03:48:07:926;-0.4177882;8.808268;
0;03:48:07:936;-0.40821138;8.759187;
0;03:48:07:946;-0.33518824;8.797494;
0;03:48:07:957;-0.24899697;8.858546;
0;03:48:07:967;-0.21547815;8.872911;
0;03:48:07:978;-0.17836803;8.9040365;
0;03:48:07:988;-0.17597382;8.920795;
0;03:48:08:003;-0.21547815;8.977059;
0;03:48:08:009;-0.25737667;8.992621;
0;03:48:08:020;-0.4177882;8.973468;
0;03:48:08:030;-0.58538234;8.965088;
0;03:48:08:041;-0.7433996;8.938752;
0;03:48:08:050;-0.8379706;8.870518;
0;03:48:08:060;-0.8439561;8.875306;
0;03:48:08:070;-0.748188;8.926781;
0;03:48:08:081;-0.59855044;8.993818;
0;03:48:08:091;-0.46567222;8.9998045;
0;03:48:08:101;-0.4309563;8.972271;
0;03:48:08:111;-0.29328972;8.91481;
0;03:48:08:122;-0.22744916;8.902839;
0;03:48:08:132;-0.035913024;8.876503;
0;03:48:08:143;0.0;8.907627;
0;03:48:08:153;-0.06344634;8.893262;
0;03:48:08:163;-0.24181437;8.865729;
0;03:48:08:173;-0.32321724;8.890868;
0;03:48:08:183;-0.47524905;8.846576;
0;03:48:08:193;-0.49679685;8.850166;
0;03:48:08:203;-0.50637364;8.857349;
0;03:48:08:214;-0.45130703;8.8645315;
0;03:48:08:223;-0.30166942;8.8777;
0;03:48:08:233;-0.24061728;8.871715;
0;03:48:08:244;-0.16400282;8.910022;
0;03:48:08:254;-0.11252748;8.89446;
0;03:48:08:264;-0.1400608;8.933964;
0;03:48:08:274;-0.2801216;8.9363575;
0;03:48:08:284;-0.56982;8.878897;
0;03:48:08:295;-0.62488663;8.844181;
0;03:48:08:305;-0.6631939;8.878897;
0;03:48:08:315;-0.5758055;8.876503;
0;03:48:08:325;-0.46088383;8.917204;
0;03:48:08:335;-0.30526072;8.925584;
0;03:48:08:346;-0.1376666;8.920795;
0;03:48:08:356;0.01316811;8.859743;
0;03:48:08:366;-0.35194764;8.930372;
0;03:48:08:377;-0.7422025;9.072827;
0;03:48:08:386;-0.59615624;8.945934;
0;03:48:08:396;-0.62608373;8.860941;
0;03:48:08:406;-0.5770026;8.99741;
0;03:48:08:416;-0.5805939;8.99741;
