Round;Timestamp;AccX;AccY;
0;03:56:41:157;0.4189853;3.891775;
0;03:56:41:168;0.4189853;3.891775;
0;03:56:41:177;0.03232172;-1.2677298;
0;03:56:41:187;0.16639702;2.2589293;
0;03:56:41:197;-0.41299978;-1.4053963;
0;03:56:41:208;-0.034715924;-0.62728083;
0;03:56:41:217;-0.050278235;-0.30406362;
0;03:56:41:227;-0.02873042;-0.34715924;
0;03:56:41:237;0.47644615;3.4225113;
0;03:56:41:247;0.7146692;0.6440403;
0;03:56:41:258;0.8367735;0.9696517;
0;03:56:41:268;-0.22744916;1.4329298;
0;03:56:41:278;0.4369418;1.5993267;
0;03:56:41:288;0.4333505;1.0857705;
0;03:56:41:298;0.10055647;0.50158525;
0;03:56:41:308;0.19632454;0.25498247;
0;03:56:41:318;0.18195933;0.35194764;
0;03:56:41:328;0.15801731;-0.05626374;
0;03:56:41:338;0.30406362;-0.3172317;
0;03:56:41:349;0.3866636;-0.23582886;
0;03:56:41:359;0.29209262;-0.36631286;
0;03:56:41:369;0.14963761;-0.20470424;
0;03:56:41:379;0.18076223;-0.272939;
0;03:56:41:390;0.16519992;-0.2693477;
0;03:56:41:399;0.16759412;-0.25617957;
0;03:56:41:409;0.25977087;-0.17597382;
0;03:56:41:420;0.2717419;-0.1328782;
0;03:56:41:429;0.24061728;0.260968;
0;03:56:41:439;0.20350714;0.37469256;
0;03:56:41:449;0.22266077;0.61171854;
0;03:56:41:460;0.260968;0.61770403;
0;03:56:41:469;0.25258827;0.62728083;
0;03:56:41:479;0.19393034;0.62608373;
0;03:56:41:489;0.20829555;0.46806642;
0;03:56:41:500;0.21068975;0.32321724;
0;03:56:41:509;0.21787235;-0.035913024;
0;03:56:41:519;0.22505496;-0.07182605;
0;03:56:41:529;0.23463176;-0.020350715;
0;03:56:41:540;0.24181437;-0.039504327;
0;03:56:41:550;0.2681506;0.06703765;
0;03:56:41:560;0.2777274;0.12569559;
0;03:56:41:570;0.23104046;0.31603462;
0;03:56:41:581;0.24660277;0.40342298;
0;03:56:41:591;0.22266077;0.4309563;
0;03:56:41:601;0.19512744;0.36032736;
0;03:56:41:611;0.20470424;0.30406362;
0;03:56:41:621;0.20829555;0.20949265;
0;03:56:41:632;0.24181437;0.12210429;
0;03:56:41:642;0.22625206;0.05626374;
0;03:56:41:652;0.25617957;0.05626374;
0;03:56:41:662;0.24540567;0.10295067;
0;03:56:41:672;0.23942018;0.17118542;
0;03:56:41:683;0.22146365;0.20470424;
0;03:56:41:694;0.21787235;0.3184288;
0;03:56:41:703;0.20350714;0.33877954;
0;03:56:41:713;0.22026655;0.32561144;
0;03:56:41:723;0.22146365;0.260968;
0;03:56:41:733;0.25258827;0.19033903;
0;03:56:41:744;0.260968;0.11731588;
0;03:56:41:754;0.25857377;0.12449849;
0;03:56:41:764;0.22984336;0.1400608;
0;03:56:41:774;0.23463176;0.19273324;
0;03:56:41:784;0.22505496;0.24301147;
0;03:56:41:794;0.22266077;0.24899697;
0;03:56:41:804;0.22146365;0.29568392;
0;03:56:41:814;0.22385786;0.2837129;
0;03:56:41:824;0.23702596;0.24301147;
0;03:56:41:834;0.21906945;0.21547815;
0;03:56:41:844;0.23702596;0.14963761;
0;03:56:41:854;0.24061728;0.15801731;
0;03:56:41:864;0.23104046;0.14844051;
0;03:56:41:875;0.22625206;0.18315643;
0;03:56:41:885;0.21308395;0.22026655;
0;03:56:41:895;0.20111294;0.2693477;
0;03:56:41:905;0.21906945;0.2681506;
0;03:56:41:915;0.21428105;0.2741361;
0;03:56:41:925;0.23582886;0.22146365;
0;03:56:41:936;0.23104046;0.21428105;
0;03:56:41:946;0.23104046;0.16759412;
0;03:56:41:957;0.22625206;0.15322891;
0;03:56:41:967;0.23104046;0.17118542;
0;03:56:41:978;0.21188685;0.22146365;
0;03:56:41:988;0.23343466;0.23582886;
0;03:56:41:999;0.23223756;0.24779987;
0;03:56:42:009;0.21667525;0.24779987;
0;03:56:42:020;0.23582886;0.21667525;
0;03:56:42:030;0.21428105;0.19752164;
0;03:56:42:040;0.22505496;0.20590134;
0;03:56:42:051;0.23223756;0.18555063;
0;03:56:42:061;0.23463176;0.19393034;
0;03:56:42:071;0.23104046;0.18435353;
0;03:56:42:081;0.23702596;0.21068975;
0;03:56:42:091;0.22744916;0.24061728;
0;03:56:42:102;0.22984336;0.22026655;
0;03:56:42:112;0.23343466;0.23942018;
0;03:56:42:122;0.22026655;0.21188685;
0;03:56:42:132;0.17238252;0.2753332;
0;03:56:42:142;0.0023942017;0.4321534;
0;03:56:42:152;-2.0171149;2.822764;
0;03:56:42:162;3.095703;-0.34596214;
0;03:56:42:172;-2.6515784;0.61890113;
0;03:56:42:183;-0.108936176;-0.6655881;
0;03:56:42:193;-0.7254431;1.0582372;
0;03:56:42:203;0.94451255;-2.0159178;
0;03:56:42:213;0.05267244;-0.034715924;
0;03:56:42:223;-0.9684546;-0.45130703;
0;03:56:42:233;1.8614918;-0.7194576;
0;03:56:42:243;-0.20111294;0.053869538;
0;03:56:42:253;-0.8403648;0.21428105;
0;03:56:42:263;0.9600749;0.37588966;
0;03:56:42:273;0.15083471;0.61770403;
0;03:56:42:283;-0.2681506;0.60573304;
0;03:56:42:294;0.35793316;0.5722142;
0;03:56:42:304;0.37229836;0.38307226;
0;03:56:42:314;0.78888947;0.36750996;
0;03:56:42:324;-0.7697359;0.34117374;
0;03:56:42:334;-0.9756372;-0.25258827;
0;03:56:42:344;0.3866636;-0.5758055;
0;03:56:42:354;1.6280571;0.79248077;
0;03:56:42:364;2.9245174;0.48243165;
0;03:56:42:374;1.7645266;0.2896984;
0;03:56:42:384;0.91817635;-0.33758244;
0;03:56:42:394;0.1448492;0.24779987;
0;03:56:42:404;-0.10414778;0.4225766;
0;03:56:42:414;0.24660277;0.6464345;
0;03:56:42:424;-0.90381116;0.46686932;
0;03:56:42:435;-0.2633622;0.32441434;
0;03:56:42:444;0.5746084;0.22146365;
0;03:56:42:454;0.7493851;0.14963761;
0;03:56:42:465;0.46447513;0.36272156;
0;03:56:42:475;0.5734113;0.2789245;
0;03:56:42:485;0.23104046;0.04070143;
0;03:56:42:496;-0.092176765;-0.1352724;
0;03:56:42:505;0.32202014;-0.1352724;
0;03:56:42:515;0.33997664;-0.17717093;
0;03:56:42:526;-0.6572084;0.18794483;
0;03:56:42:536;0.2681506;0.044292733;
0;03:56:42:547;0.46088383;0.47884035;
0;03:56:42:556;0.41299978;0.35553896;
0;03:56:42:566;0.29568392;0.65242;
0;03:56:42:577;0.009576807;0.5626374;
0;03:56:42:587;-0.1604115;0.40821138;
0;03:56:42:597;-0.01316811;0.35434186;
0;03:56:42:608;0.4213795;0.10414778;
0;03:56:42:618;0.51355624;-0.1352724;
0;03:56:42:628;0.50876784;-0.25737667;
0;03:56:42:638;0.6835446;-0.29807812;
0;03:56:42:648;0.2837129;-0.059855044;
0;03:56:42:659;0.25977087;0.049081136;
0;03:56:42:669;0.06943185;0.15442601;
0;03:56:42:679;-0.20350714;0.15442601;
0;03:56:42:689;-0.19512744;0.2645593;
0;03:56:42:699;0.19273324;0.37588966;
0;03:56:42:709;0.51954174;0.49799395;
0;03:56:42:719;0.36391866;0.6739678;
0;03:56:42:729;1.3970166;0.7541735;
0;03:56:42:739;0.5554548;1.0761937;
0;03:56:42:749;-0.1400608;0.8367735;
0;03:56:42:759;-0.45130703;0.30765492;
0;03:56:42:770;-0.02873042;-0.272939;
0;03:56:42:780;-0.10534488;-0.2705448;
0;03:56:42:790;0.31603462;-0.21428105;
0;03:56:42:800;0.81761986;-0.4429273;
0;03:56:42:810;0.6548142;-0.1316811;
