Round;Timestamp;AccX;AccY;
4;10;0.9888053;3.490746;
4;30;3.128503;1.5535975;
4;82;-1.4829684;-3.7660794;
4;133;-3.5288138;5.1920657;
4;184;-1.6338291;0.031483267;
4;234;-0.69366443;0.46678331;
4;286;1.4442955;0.82695824;
4;340;2.8678412;-0.54430777;
4;392;3.8276;0.1678584;
4;443;4.8324766;0.11607004;
4;494;5.947813;0.24662763;
4;544;3.206415;-0.5467444;
4;597;0.5934906;-1.0046972;
4;651;-1.8343551;-1.1050899;
4;704;-5.2683654;-2.0444555;
4;754;-7.339156;-2.704939;
4;806;-8.167788;-2.629141;
4;859;-7.9602747;-2.4933226;
4;911;-6.5400243;-1.9690818;
4;964;-6.964712;-2.2970924;
4;1016;-6.529356;-1.9257829;
4;1067;-6.142822;-1.1492894;
4;1119;-6.405362;-0.38419074;
4;1171;-4.428426;0.92440426;
4;1224;-3.1473272;2.21778;
4;1276;-2.0585077;3.0864925;
4;1328;-1.2952963;3.1268954;
4;1380;-0.35903493;2.92522;
4;1432;0.11950909;2.7226822;
4;1486;-0.004641236;2.4660285;
4;1538;-0.35439166;2.4053204;
4;1590;-0.60561174;2.2184205;
4;1643;-0.54828256;1.9508951;
4;1696;0.03646748;1.7460343;
4;1747;0.9728709;1.4282532;
4;1798;3.2053232;1.9433061;
4;1850;3.7667313;2.2208078;
4;1903;4.0700865;2.257663;
4;1955;4.0548005;2.620186;
4;2006;1.9386483;2.1488914;
4;2057;1.1958684;1.6834202;
4;2111;0.15526974;1.5040137;
4;2164;0.12709683;0.21336989;
4;2216;0.46066403;1.0526787;
4;2268;0.6538232;0.56654906;
4;2321;3.563199;-0.33873692;
4;2373;4.880002;-0.86216027;
4;2426;6.432226;-1.9939709;
4;2478;7.7676225;-2.229969;
4;2529;9.324849;-2.8437045;
4;2581;11.688155;-3.5859866;
4;2633;11.170094;-1.9985265;
4;2684;11.0859785;-1.9873987;
4;2736;10.755069;-2.3598518;
4;2789;8.277571;-2.567912;
4;2842;7.832289;-2.041851;
4;2896;6.2220254;-0.85435176;
4;2950;6.26084;0.04238264;
4;3002;5.9912405;1.6195253;
4;3055;3.942773;3.3275604;
4;3109;2.832381;4.3086343;
4;3161;1.3405052;4.0654345;
4;3213;0.54246706;3.5236917;
4;3264;0.67758185;3.17573;
4;3317;0.27089825;2.7978547;
4;3369;0.89654773;2.2604759;
4;3419;0.6741024;2.1153343;
4;3472;0.63276875;2.0928795;
4;3523;0.44872415;2.4634666;
4;3577;0.34237188;2.2946134;
4;3629;0.35023433;2.0545173;
4;3682;-1.3149362;1.4260509;
4;3735;-3.5617826;1.154539;
4;3786;-5.188993;0.823254;
4;3838;-7.216712;0.451988;
4;3892;-7.8470163;0.041132577;
4;3946;-8.626506;0.11859899;
4;3998;-8.304137;-0.15542209;
