Round;Timestamp;AccX;AccY;AccZ;Acc Vector a;;;
0;03:34:36:783;9.71E-05;-0.017182443;-0.02117443;0.027269072;;4.70E+00;-3.6563804
0;03:34:36:794;9.71E-05;-0.017182443;-0.02117443;0.027269072;;4.0509143;-2.8543699
0;03:34:36:804;-0.008531742;-0.006845072;-0.010437965;0.015119416;;0.9269333;-0.8405094
0;03:34:36:814;-0.007678568;-0.023398817;-7.75E-04;0.024638714;;;
0;03:34:36:824;0.001708411;-0.00382068;0.007921219;0.008958904;;;
0;03:34:36:834;0.001537569;0.013799639;-0.001490593;0.013964814;;;
0;03:34:36:844;0.001383811;0.012419676;-0.00134182;0.012568364;;;
0;03:34:36:854;0.001245432;0.019796833;-0.018445015;0.027086607;;;
0;03:34:36:864;0.001120888;0.009198027;-0.016599655;0.01901075;;;
0;03:34:36:875;-0.01622945;-0.017579153;0.002298355;0.024035477;;;
0;03:34:36:885;-0.005987369;0.001417015;0.010687828;0.012332323;;;
0;03:34:36:895;-0.005388632;-0.01596294;0.018238068;0.024829013;;;
0;03:34:36:905;-0.004849769;-0.014366645;0.007795334;0.017049574;;;
0;03:34:36:915;0.004254334;-0.01292998;-0.001603127;0.013705975;;;
0;03:34:36:925;0.003828898;0.005601272;-0.010062218;0.012136018;;;
0;03:34:36:935;0.003446005;0.005041145;-4.37E-04;0.006121999;;;
0;03:34:36:946;0.003101409;-0.004082091;0.008226395;0.009693078;;;
0;03:34:36:956;0.002791271;0.004945241;0.007403374;0.00933041;;;
0;03:34:36:967;0.002512142;0.013069844;-0.001955986;0.013452047;;;
1;03:34:36:978;0.002260931;0.003143732;-0.010379791;0.01107858;;;
1;03:34:36:987;-0.00678777;-0.006934613;0.007968903;0.012556515;;;
1;03:34:36:998;0.00225912;-0.015098076;-0.003026962;0.015563355;;;
1;03:34:37:008;0.001829892;-0.004472226;-0.011933327;0.012874533;;;
1;03:34:37:018;0.001829892;-0.004472226;-0.011933327;0.012874533;;;
1;03:34:37:028;0.001646906;0.004594121;-0.01074028;0.011797113;;;
1;03:34:37:038;0.001482219;0.004134707;0.016191483;0.016776677;;;
1;03:34:37:049;0.001482219;0.004134707;0.016191483;0.016776677;;;
1;03:34:37:059;0.001333997;0.012340365;-0.002666473;0.012695442;;;
1;03:34:37:069;0.009819716;0.011106329;0.00621891;0.016076449;;;
1;03:34:37:079;2.19E-04;0.001376569;-0.020259857;0.020307746;;;
1;03:34:37:089;1.97E-04;-0.00738021;0.016242981;0.017842103;;;
1;03:34:37:099;1.77E-04;0.001976937;-0.002619743;0.003286745;;;
1;03:34:37:110;-0.017078876;0.001779243;0.006261826;0.018277423;;;
1;03:34:37:120;0.001867265;-0.015636932;0.005635262;0.016725923;;;
1;03:34:37:130;0.001680538;-0.005454108;-0.012166977;0.013439004;;;
1;03:34:37:140;0.001512483;0.012329554;-0.019569397;0.023179017;;;
1;03:34:37:150;0.001361236;0.002477471;-0.008994103;0.009427869;;;
1;03:34:37:161;0.001225114;0.002229724;-0.008094788;0.008485173;;;
2;03:34:37:170;0.001102604;0.002006751;0.009952545;0.010212538;;;
2;03:34:37:181;9.92E-04;0.001806077;0.008956909;0.009190913;;;
2;03:34:37:191;8.93E-04;0.001625467;-0.009177208;0.009362742;;;
2;03:34:37:201;-0.007815324;0.001462922;0.008978844;0.011993292;;;
2;03:34:37:211;0.001585335;0.001316629;-5.38E-04;0.002129813;;;
2;03:34:37:221;0.001426801;0.001184966;0.025373459;0.025441154;;;
2;03:34:37:232;0.010636747;0.00354556;-0.005304337;0.012403522;;;
2;03:34:37:241;9.54E-04;0.011810133;-0.022011757;0.024998135;;;
2;03:34:37:251;8.59E-04;-0.006609127;-0.00257206;0.00714375;;;
2;03:34:37:261;7.73E-04;0.011290038;-0.010933876;0.015735681;;;
2;03:34:37:271;6.95E-04;0.001541909;-0.001221657;0.002086516;;;
2;03:34:37:281;6.26E-04;0.010006847;-0.001099587;0.010086516;;;
2;03:34:37:291;5.63E-04;3.87E-04;0.007629395;0.007659946;;;
2;03:34:37:302;5.07E-04;-0.008270793;-0.010372162;0.013275721;;;
2;03:34:37:312;4.56E-04;-0.01606284;0.007903099;0.017907596;;;
2;03:34:37:322;-0.008208469;-0.005837426;-0.001506805;0.010184545;;;
2;03:34:37:332;0.001231507;0.003365442;0.015882492;0.01628178;;;
2;03:34:37:342;0.001108356;-0.005590223;-0.002943993;0.006414525;;;
2;03:34:37:352;9.98E-04;-0.005031198;0.005970001;0.007870763;;;
3;03:34:37:362;8.98E-04;-0.004528076;-0.02048397;0.020997679;;;
3;03:34:37:372;8.08E-04;0.004543856;-0.009817123;0.010847829;;;
3;03:34:37:382;7.27E-04;0.012708599;-0.008835793;0.015495435;;;
3;03:34:37:393;6.54E-04;-0.005800508;0.009285927;0.010968257;;;
3;03:34:37:402;5.89E-04;0.003398668;-2.62E-04;0.003459289;;;
3;03:34:37:413;5.30E-04;-0.005560324;-0.00885582;0.010470137;;;
3;03:34:37:423;4.77E-04;0.003614832;-0.00797081;0.008765184;;;
3;03:34:37:433;4.29E-04;-0.005365774;0.001444817;0.005573456;;;
3;03:34:37:444;3.86E-04;0.003789928;0.001299858;0.004025237;;;
3;03:34:37:454;3.48E-04;-0.005208187;0.009789467;0.011094136;;;
3;03:34:37:464;3.13E-04;0.003931757;1.92E-04;0.003948854;;;
3;03:34:37:475;2.54E-04;0.021284886;0.001016617;0.021310658;;;
3;03:34:37:486;2.28E-04;0.001918145;0.009533882;0.009727603;;;
3;03:34:37:495;2.05E-04;-0.006892793;0.008580208;0.011007849;;;
3;03:34:37:505;1.85E-04;0.002415612;-8.97E-04;0.002583543;;;
3;03:34:37:515;1.66E-04;-0.006445073;-8.08E-04;0.006497624;;;
3;03:34:37:525;1.50E-04;-0.014419694;-0.009346008;0.017184233;;;
3;03:34:37:535;1.35E-04;-0.004358597;2.08E-04;0.004365633;;;
3;03:34:37:545;1.21E-04;-0.003922738;-0.008432388;0.009300954;;;
4;03:34:37:556;1.09E-04;-0.003530465;-0.00758934;0.008371032;;;
4;03:34:37:566;9.82E-05;0.014060834;0.010407448;0.017493761;;;
4;03:34:37:577;8.84E-05;0.012654753;-0.007871628;0.01490346;;;
4;03:34:37:587;7.96E-05;-0.005848974;0.001534462;0.006047429;;;
4;03:34:37:597;7.16E-05;0.011974176;-0.007238388;0.01399215;;;
4;03:34:37:608;6.44E-05;-0.006461494;0.019343376;0.020394148;;;
4;03:34:37:617;5.80E-05;0.00280378;0.008790016;0.009226534;;;
4;03:34:37:628;5.22E-05;-0.006095722;-7.09E-04;0.00613699;;;
4;03:34:37:638;4.70E-05;-0.022724405;0.016600609;0.028142157;;;
4;03:34:37:648;4.23E-05;-0.003213711;-0.002297401;0.003950668;;;
4;03:34:37:659;3.81E-05;0.005726785;-0.010686874;0.012124636;;;
4;03:34:37:669;-0.008584872;0.013773235;-0.009618759;0.018865909;;;
4;03:34:37:679;-0.007726379;0.003776785;0.025819778;0.027214371;;;
4;03:34:37:690;0.001665384;0.02063736;0.005999565;0.02155618;;;
4;03:34:37:701;0.001348965;-0.008279204;-0.009792328;0.012893976;;;
4;03:34:37:712;0.001214072;0.009786969;-0.008813858;0.013226596;;;
4;03:34:37:723;0.001092665;-0.017049108;0.017925262;0.024762493;;;
4;03:34:37:732;9.83E-04;-0.006725065;0.024752617;0.025668768;;;
