Round;Timestamp;AccX;AccY;
4;9;4.357447;2.3307555;
4;34;2.2525446;-0.5117606;
4;97;0.050278235;-0.5554548;
4;158;2.5226905;0.00877877;
4;221;0.6190039;-0.06363465;
4;283;0.35710144;0.36423126;
4;344;0.4141952;0.38074628;
4;407;0.3650579;0.13461162;
4;469;0.17186604;-0.1491911;
4;531;1.1025479;-0.024898166;
4;598;0.87936646;-0.13823666;
4;660;0.2591447;-0.28784832;
4;722;-1.1763293;-0.44703165;
4;785;-3.3226244;-0.42865282;
4;849;-5.013098;-0.47584844;
4;912;-6.631534;-0.33939537;
4;976;-8.1594;-0.3385282;
4;1041;-6.9717274;-0.23880434;
4;1104;-6.090625;-0.119606465;
4;1168;-4.5161133;-0.27597237;
4;1232;-3.406231;-0.1302741;
4;1296;-2.6175215;-0.1576537;
4;1360;-2.4706607;-0.04521171;
4;1423;-3.0497675;-0.0790026;
4;1486;-4.509215;0.010655597;
4;1550;-5.4151506;-0.10566611;
4;1613;-6.425028;-0.17525;
4;1676;-6.389763;-0.24728769;
4;1739;-6.569468;-0.18997279;
4;1802;-5.8696585;-0.31276286;
4;1864;-5.5532913;-0.42546657;
4;1927;-4.8790298;-0.7923262;
4;1989;-4.7893744;-0.5375362;
4;2051;-4.465006;-0.760976;
4;2112;-4.8174763;-0.58089453;
4;2174;-4.4914627;-0.34166348;
4;2238;-4.260459;0.09618785;
4;2301;-3.70421;0.43032065;
4;2364;-3.7199469;0.29021412;
4;2427;-3.6296964;-0.027648157;
4;2491;-2.8639069;0.01747204;
4;2556;-2.9678373;-0.33942905;
4;2618;-4.3627934;-0.52743006;
4;2683;-4.728295;-0.52411604;
4;2747;-4.9782586;-0.31006992;
4;2810;-5.235323;-0.15374117;
4;2873;-5.664428;-0.3442849;
4;2938;-5.6932945;-0.47627515;
4;3001;-5.1558914;-0.30018556;
4;3064;-5.258017;-0.47149363;
4;3127;-5.908876;-0.6619648;
4;3191;-5.9167023;-0.59388375;
4;3255;-5.9849772;-0.76682603;
4;3318;-5.4463716;-0.36094752;
4;3381;-4.998488;-0.38780284;
4;3443;-4.0032015;-0.5093388;
4;3507;-3.0260456;-0.528191;
4;3569;-1.3551692;-0.5328256;
4;3630;0.6189071;-0.5530398;
4;3692;2.5597203;-0.46726492;
4;3752;4.544318;-0.26479855;
4;3812;6.181918;0.12598665;
4;3873;7.56921;-0.079013854;
4;3936;8.216775;-0.09153937;
4;3997;8.198309;-0.17779543;
4;4060;8.444707;-0.20078474;
4;4125;8.78351;-0.26023299;
4;4186;8.569916;-0.16858219;
4;4248;7.890399;-0.06606683;
4;4310;5.985558;0.001972725;
4;4374;4.5076447;-0.089476794;
4;4437;2.7578344;0.09061431;
4;4501;1.370981;0.08340234;
4;4565;0.74916565;0.01329076;
4;4629;0.7838281;-0.14740147;
4;4692;1.1703447;-0.6192354;
4;4755;1.169583;-0.831086;
4;4817;0.065815486;-0.98037636;
4;4882;-0.9393131;-0.98554736;
4;4948;-2.1898706;-0.77954936;
4;5012;-3.7718694;-0.6509629;
4;5077;-5.0623894;-0.55215544;
4;5138;-5.473662;-0.2380728;
4;5200;-5.301519;-0.4188229;
4;5262;-5.0821066;-0.3113637;
4;5325;-5.0221186;-0.49045202;
4;5388;-5.3908944;-0.66648984;
4;5450;-5.272984;-0.6795249;
4;5514;-5.901326;-0.7720583;
4;5578;-6.3532753;-0.9804281;
4;5644;-6.626564;-0.6498565;
4;5708;-6.1813817;-0.4753354;
4;5772;-6.680547;-0.394874;
