Round;Timestamp;AccX;AccY;UpperBound;LowerBound
6;14;-4.396951;-1.9321208;3.5;-3.5
6;34;-9.979272;-1.2701241;3.5;-3.5
6;84;-8.104373;3.0190883;3.5;-3.5
6;135;-5.1642933;-0.6248867;3.5;-3.5
6;188;-4.165933;1.2005864;3.5;-3.5
6;240;-0.61504453;1.5536722;3.5;-3.5
6;293;1.6745212;1.9139498;3.5;-3.5
6;345;3.987827;2.1415398;3.5;-3.5
6;396;4.232623;2.1488087;3.5;-3.5
6;449;4.737215;1.9535546;3.5;-3.5
6;499;4.794981;1.6051443;3.5;-3.5
6;550;2.856425;1.563306;3.5;-3.5
6;603;0.972272;0.88250387;3.5;-3.5
6;657;-1.4690884;0.61454505;3.5;-3.5
6;711;-2.5950215;0.88296604;3.5;-3.5
6;762;-4.214211;0.42849785;3.5;-3.5
6;813;-7.396727;0.40691793;3.5;-3.5
6;864;-8.1370945;0.07601336;3.5;-3.5
6;918;-8.086771;-0.6351838;3.5;-3.5
6;970;-8.182617;-1.4628925;3.5;-3.5
6;1020;-7.645684;-1.9380989;3.5;-3.5
6;1072;-7.8106494;-1.2488694;3.5;-3.5
6;1123;-6.564606;0.35589233;3.5;-3.5
6;1176;-6.93605;1.3214439;3.5;-3.5
6;1227;-7.3410435;1.9145861;3.5;-3.5
6;1279;-7.4446244;2.4464183;3.5;-3.5
6;1330;-7.183613;1.8863614;3.5;-3.5
6;1381;-6.47513;1.5104386;3.5;-3.5
6;1433;-4.909626;1.2476943;3.5;-3.5
6;1487;-3.2291045;2.0754962;3.5;-3.5
6;1542;-2.2836373;2.1583698;3.5;-3.5
6;1596;-1.749815;1.561316;3.5;-3.5
6;1649;-1.5061891;1.5398057;3.5;-3.5
6;1699;-2.9056613;1.6583794;3.5;-3.5
6;1751;-3.8063474;1.1241523;3.5;-3.5
6;1801;-3.0655472;1.4802178;3.5;-3.5
6;1853;-2.3881342;1.4974385;3.5;-3.5
6;1905;-1.4620974;1.683756;3.5;-3.5
6;1957;-1.2682583;1.102362;3.5;-3.5
6;2008;-1.036907;0.7965862;3.5;-3.5
6;2059;-0.19145732;1.0760889;3.5;-3.5
6;2111;0.93478745;-0.40448534;3.5;-3.5
6;2163;1.8398795;-1.1504979;3.5;-3.5
6;2214;5.870664;-1.92428;3.5;-3.5
6;2266;9.079062;-3.567824;3.5;-3.5
6;2317;9.434735;-3.451875;3.5;-3.5
6;2368;10.913904;-1.6653084;3.5;-3.5
6;2421;11.468564;-0.94257444;3.5;-3.5
6;2474;10.733837;-0.17347185;3.5;-3.5
6;2526;11.104936;-0.7832928;3.5;-3.5
6;2578;9.521212;0.34754983;3.5;-3.5
6;2631;10.933665;0.56286734;3.5;-3.5
