Round;Timestamp;AccX;AccY;
0;03:12:08:605;1.8195933;-1.365892;
0;03:12:08:615;1.8016368;-1.3706805;
0;03:12:08:626;1.7764976;-1.365892;
0;03:12:08:636;1.7729063;-1.3706805;
0;03:12:08:646;1.7669208;-1.4089876;
0;03:12:08:657;1.7513585;-1.4161704;
0;03:12:08:666;1.757344;-1.4221559;
0;03:12:08:676;1.7717092;-1.4173675;
0;03:12:08:686;1.7465701;-1.42455;
0;03:12:08:697;1.7525556;-1.4137762;
0;03:12:08:707;1.7322049;-1.435324;
0;03:12:08:717;1.7082629;-1.4317327;
0;03:12:08:731;1.7202339;-1.4281414;
0;03:12:08:741;1.7513585;-1.435324;
0;03:12:08:751;1.7525556;-1.4377182;
0;03:12:08:761;1.7621324;-1.4532804;
0;03:12:08:771;1.7633295;-1.4377182;
0;03:12:08:782;1.7525556;-1.435324;
0;03:12:08:792;1.7753005;-1.412579;
0;03:12:08:802;1.7812861;-1.4137762;
0;03:12:08:812;1.8016368;-1.3874398;
0;03:12:08:823;1.8016368;-1.3934253;
0;03:12:08:832;1.7561469;-1.3982137;
0;03:12:08:842;1.7788919;-1.3611037;
0;03:12:08:852;1.7585411;-1.364695;
0;03:12:08:863;1.7764976;-1.3467385;
0;03:12:08:873;1.7393875;-1.3694834;
0;03:12:08:883;1.7345991;-1.3706805;
0;03:12:08:893;1.7118542;-1.3922282;
0;03:12:08:903;1.7106571;-1.4209588;
0;03:12:08:913;1.7154455;-1.4317327;
0;03:12:08:923;1.7070658;-1.423353;
0;03:12:08:934;1.6699557;-1.4185646;
0;03:12:08:944;1.6591818;-1.4149733;
0;03:12:08:954;1.6460136;-1.3790601;
0;03:12:08:964;1.6639702;-1.3383588;
0;03:12:08:974;1.6627731;-1.3515269;
0;03:12:08:984;1.673547;-1.340753;
0;03:12:08:995;1.673547;-1.340753;
0;03:12:09:004;1.7118542;-1.3299791;
0;03:12:09:014;1.7657237;-1.3443443;
0;03:12:09:024;1.7633295;-1.3503298;
0;03:12:09:034;1.7753005;-1.3479356;
0;03:12:09:044;1.7872716;-1.3395559;
0;03:12:09:054;1.79206;-1.3575124;
0;03:12:09:068;1.7776948;-1.4161704;
0;03:12:09:078;1.7741034;-1.423353;
0;03:12:09:088;1.7633295;-1.42455;
0;03:12:09:099;1.7705121;-1.4101849;
0;03:12:09:108;1.7597382;-1.4161704;
0;03:12:09:118;1.7310078;-1.4173675;
0;03:12:09:128;1.7202339;-1.3994108;
0;03:12:09:139;1.7190368;-1.3970166;
0;03:12:09:149;1.4077905;-1.1575965;
0;03:12:09:159;1.4532804;-1.1911154;
0;03:12:09:172;1.8830396;-1.3204023;
0;03:12:09:182;1.8674773;-1.3826514;
0;03:12:09:192;2.0626047;-1.4856021;
0;03:12:09:202;1.9847932;-1.5035586;
0;03:12:09:212;1.851915;-1.4425066;
0;03:12:09:222;1.8136078;-1.3024458;
0;03:12:09:233;1.7776948;-1.2366052;
0;03:12:09:242;1.7322049;-1.2330139;
0;03:12:09:252;1.6938977;-1.3215994;
0;03:12:09:262;1.6927006;-1.352724;
