 counter ; timestamp ; amplitude ; accx ; accy ; accz ; magx ; magy ; magz ; gyrx ; gyry ; gyrz ; temp ; act state
1;1521879514;3622;65298;65185;16232;65244;2744;62791;95;65431;65505;0;0
2;1521879514;1864;65296;65106;16083;65236;2755;62765;66;65460;65516;0;0
3;1521879514;2197;65274;65164;16485;65232;2751;62805;84;65427;65534;0;0
4;1521879517;1827;65292;65096;16260;65228;2750;62797;73;65432;65512;0;0
5;1521879517;2224;65289;65140;16298;65225;2739;62803;77;65429;65516;0;0
6;1521879517;2063;65308;65159;16364;65202;2741;62779;60;65440;65485;0;0
7;1521879517;1901;65300;65108;16236;65215;2781;62771;77;65416;65511;0;0
8;1521879517;2161;65321;65124;16364;65199;2749;62748;73;65424;65494;0;0
9;1521879517;1913;65292;65118;16287;65214;2719;62722;87;65452;65494;0;0
10;1521879517;2103;65294;65135;16309;65204;2757;62780;71;65428;65514;0;0
11;1521879517;1860;65285;65138;16342;65173;2745;62770;60;65442;65517;0;0
12;1521879517;2140;65306;65126;16251;65210;2756;62779;65;65424;65511;0;0
13;1521879517;1866;65292;65145;16345;65189;2733;62793;61;65428;65502;0;0
14;1521879518;2040;65034;65137;16356;65227;2705;62837;84;65438;65521;0;0
15;1521879518;1865;65300;65133;16316;65235;2752;62786;64;65411;65526;0;0
16;1521879518;2151;65278;65116;16295;65240;2719;62759;67;65427;65506;0;0
17;1521879518;1829;65300;65127;16331;65231;2726;62823;54;65427;65525;0;0
18;1521879518;2122;65291;65128;16282;65217;2742;62797;63;65469;4;0;0
19;1521879518;1813;65281;65128;16294;65228;2740;62782;84;65419;65508;0;0
20;1521879518;1905;65269;65128;16309;65197;2776;62807;69;65431;65513;0;0
21;1521879518;2061;65302;65115;16298;65215;2754;62783;78;65454;65514;0;0
22;1521879518;1922;65302;65106;16304;65232;2753;62801;71;65437;65527;0;0
23;1521879518;2037;65284;65112;16295;65200;2757;62832;88;65455;65522;0;0
24;1521879519;1913;65285;65134;16308;65245;2757;62796;55;65406;65508;0;0
25;1521879519;2054;65276;65124;16327;65246;2760;62803;107;65428;65519;0;0
26;1521879519;1857;65304;65136;16289;65225;2767;62779;73;65455;65515;0;0
27;1521879519;2204;65271;65121;16306;65200;2717;62781;68;65445;65503;0;0
28;1521879519;1841;65301;65131;16245;65222;2760;62758;69;65452;65502;0;0
29;1521879519;2271;65282;65141;16342;65214;2741;62797;68;65454;65494;0;0
30;1521879519;1827;65301;65125;16287;65174;2754;62774;103;65426;65524;0;0
31;1521879519;1950;65293;65121;16299;65249;2773;62759;91;65446;3;0;0
32;1521879519;2063;65281;65139;16320;65244;2768;62786;87;65439;65517;0;0
33;1521879520;1908;65309;65112;16259;65223;2734;62816;93;65443;65522;0;0
34;1521879520;2129;65269;65132;16293;65248;2734;62786;68;65434;65534;0;0
35;1521879520;1866;65287;65122;16289;65216;2760;62794;68;65435;65527;0;0
36;1521879520;2117;65276;65139;16296;65225;2749;62807;66;65431;65523;0;0
37;1521879520;1784;65319;65130;16297;65259;2732;62789;86;65450;65534;0;0
38;1521879520;2255;65293;65127;16327;65240;2759;62769;77;65467;65496;0;0
39;1521879520;1779;65300;65125;16283;65219;2775;62811;51;65451;65521;0;0
40;1521879520;1948;65310;65115;16280;65203;2729;62773;46;65441;65496;0;0
41;1521879520;2090;65281;65127;16308;65197;2714;62780;64;65440;65514;0;0
42;1521879520;1835;65317;65131;16283;65231;2717;62793;65;65437;65506;0;0
43;1521879521;2154;65273;65126;16305;65192;2735;62824;66;65432;65529;0;0
44;1521879521;1841;65292;65136;16300;65258;2756;62812;93;65456;65530;0;0
45;1521879521;2166;65280;65141;16331;65232;2760;62755;55;65413;65504;0;0
46;1521879521;1868;65282;65126;16323;65210;2738;62750;70;65421;65512;0;0
47;1521879521;2144;65312;65137;16295;65213;2715;62782;64;65432;65505;0;0
